"";"activity_code_avdth";"activity_code_observe";"set_success_status_code_observe";"objectoperation_code_observe";"schooltype_code_observe";"time_at_sea";"fishing_time";"set_duration";"activity_label_observe";"activity_label_avdth";"objectoperation_label_observe";"schooltype_label_observe";"status_active_observe";"comment"
"1";15;0;NA;NA;NA;0;0;0;"At port";"At port";NA;NA;1;NA
"2";4;1;NA;NA;NA;1;0;0;"Transit (steaming without searching)";"Transit (steaming without searching)";NA;NA;1;"If no DCP delared in AVDTH database. (In AVDTH database, there are DCPs declared for activities that are not compatible with the use of a DCP in ObServe database)."
"3";3;2;NA;NA;NA;1;1;0;"Searching (in general)";"Searching";NA;NA;1;"If no DCP delared in AVDTH database. (In AVDTH database, there are DCPs declared for activities that are not compatible with the use of a DCP in ObServe database)."
"4";3;3;NA;NA;NA;1;1;0;"Searching for floating objects (logs or FADs)";"Searching";NA;NA;0;NA
"5";3;4;NA;NA;NA;1;1;0;"Steaming towards observed system associated to the tuna school";"Searching";NA;NA;1;NA
"6";3;5;NA;NA;NA;0;0;0;"Arrival of vessel at the observed system";"Searching";NA;NA;1;NA
"7";0;6;"0";99;1;1;1;1;"Fishing (skiff is deployed)";"Null set";"Unknown";"Object school type";1;"fishing_time=set_duration"
"8";0;6;"0";NA;2;1;1;1;"Fishing (skiff is deployed)";"Null set";NA;"Free school type";1;"fishing_time=set_duration"
"9";1;6;"1";99;1;1;1;1;"Fishing (skiff is deployed)";"Positive set";"Unknown";"Object school type";1;"fishing_time=set_duration"
"10";1;6;"1";NA;2;1;1;1;"Fishing (skiff is deployed)";"Positive set";NA;"Free school type";1;"fishing_time=set_duration"
"11";2;6;"2";99;1;1;1;1;"Fishing (skiff is deployed)";"Unknown set";"Unknown";"Object school type";1;"fishing_time=set_duration"
"12";2;6;"2";NA;2;1;1;1;"Fishing (skiff is deployed)";"Unknown set";NA;"Free school type";1;"fishing_time=set_duration"
"13";14;6;"2";99;1;1;1;1;"Fishing (skiff is deployed)";"Pocket capsizing";"Unknown";"Object school type";1;"fishing_time=set_duration"
"14";14;6;"2";NA;2;1;1;1;"Fishing (skiff is deployed)";"Pocket capsizing";NA;"Free school type";1;"fishing_time=set_duration"
"15";NA;6;"0,1,2";3;1;1;1;1;"Fishing (skiff is deployed)";NA;"Fishing";"Object school type";1;"fishing_time=set_duration"
"16";NA;6;"0,1,2";1;1;1;1;1;"Fishing (skiff is deployed)";NA;"Deployment";"Object school type";1;"fishing_time=set_duration"
"17";NA;6;"0,1,2";4;1;1;1;1;"Fishing (skiff is deployed)";NA;"Removal";"Object school type";1;"fishing_time=set_duration"
"18";NA;6;"0,1,2";6;1;1;1;1;"Fishing (skiff is deployed)";NA;"Destruction";"Object school type";1;"fishing_time=set_duration"
"19";NA;6;"0,1,2";9;1;1;1;1;"Fishing (skiff is deployed)";NA;"Replacement";"Object school type";1;"fishing_time=set_duration"
"20";NA;6;"0,1,2";2;1;1;1;1;"Fishing (skiff is deployed)";NA;"Visit";"Object school type";1;"fishing_time=set_duration"
"21";NA;6;"0,1,2";8;1;1;1;1;"Fishing (skiff is deployed)";NA;"Modified or reinforced";"Object school type";1;"fishing_time=set_duration"
"22";NA;6;"0,1,2";5;1;1;1;1;"Fishing (skiff is deployed)";NA;"Abandonment (without beacon, not destroyed, not sunk)";"Object school type";1;"fishing_time=set_duration"
"23";NA;6;"0,1,2";7;1;1;1;1;"Fishing (skiff is deployed)";NA;"Sinking";"Object school type";1;"fishing_time=set_duration"
"24";NA;6;"0,1,2";11;1;1;1;1;"Fishing (skiff is deployed)";NA;"Loss";"Object school type";1;"fishing_time=set_duration"
"25";NA;6;"0,1,2";10;1;1;1;1;"Fishing (skiff is deployed)";NA;"Other (to be precised)";"Object school type";1;"fishing_time=set_duration"
"26";NA;6;"0,1,2";12;1;1;1;1;"Fishing (skiff is deployed)";NA;"Stranding";"Object school type";1;"fishing_time=set_duration"
"27";99;7;NA;NA;NA;0;0;0;"End of fishing (skiff is brought on board)";"Other non-fishing activities";NA;NA;0;NA
"28";3;8;NA;NA;NA;1;1;0;"Drifting during the day near a tuna school, a log or a FAD";"Searching";NA;NA;1;NA
"29";10;9;NA;NA;NA;1;0;0;"Drifting during the night (engine stopped)";"Waiting";NA;NA;1;NA
"30";8;10;NA;NA;NA;1;0;0;"Drifting due to bad weather";"Heaving to";NA;NA;1;NA
"31";7;11;NA;NA;NA;1;0;0;"Drifting due to mechanical problems";"Damage";NA;NA;1;NA
"32";11;12;NA;NA;NA;1;1;0;"Transshipping at sea (equipment, FADs, crew member)";"Transshipping at sea";NA;NA;1;NA
"33";1;13;NA;3;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Fishing on FOB";"Fishing";NA;0;"The time_at_sea, set_duration and fishing_time of fishing on FOB activity have already been taken into account via corresponding fishing activity (code 6 in observe and 0,1,2, or 14 in avdth database) and elementary catches associated."
"34";5;13;NA;1;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Deployment of FOB";"Deployment";NA;1;NA
"35";6;13;NA;4;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Recovery of FOB";"Removal";NA;1;NA
"36";6;13;NA;6;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Recovery of FOB";"Destruction";NA;1;NA
"37";22;13;NA;4;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Recovery of FOB  without beacon operation";"Removal";NA;1;NA
"38";23;13;NA;1;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Redeployment of FOB with beacon";"Deployment";NA;1;NA
"39";24;13;NA;4;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Recovery of FOB  without beacon";"Removal";NA;1;NA
"40";25;13;NA;2;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Add of beacon on existing FOB";"Visit";NA;1;NA
"41";26;13;NA;2;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Remove beacon on existing FOB";"Visit";NA;1;NA
"42";29;13;NA;2;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Visit to FOB equipped with beacon";"Visit";NA;1;NA
"43";30;13;NA;2;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Visit to FOB without beacon";"Visit";NA;1;NA
"44";31;13;NA;8;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Reinforced of a FOB without beacon operation";"Modified or reinforced";NA;1;NA
"45";32;13;NA;8;NA;1;1;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Reinforced of a FOB with beacon";"Modified or reinforced";NA;1;NA
"46";33;13;NA;11;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Loss, end or controlled shutdown of FOB transmission";"Loss";NA;1;NA
"47";34;13;NA;99;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Removal of an isolated beacon";"Other (to be precised)";NA;0;NA
"48";40;13;NA;11;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Loss of beacon transmission";"Loss";NA;1;NA
"49";41;13;NA;11;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Controlled shutdown of FOB transmission";"Loss";NA;1;NA
"50";98;13;NA;99;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Unknown operation on FOB";"Unknown";NA;0;NA
"51";99;13;NA;10;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";"Unknown operation on FOB";"Other (to be precised)";NA;1;NA
"52";NA;13;NA;12;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";NA;"Stranding";NA;1;NA
"53";NA;13;NA;NA;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";NA;NA;NA;1;"Activity with code 13 and no floating object operation associated, to be checked in codama."
"54";NA;13;NA;5;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";NA;"Abandonment (without beacon, not destroyed, not sunk)";NA;1;NA
"55";NA;13;NA;7;NA;0;0;0;"Operation on FOB only (visit, deployment, modification, retrieval)";NA;"Sinking";NA;1;NA
"56";NA;13;NA;9;NA;1;1;0;"Fishing (skiff is deployed)";NA;"Replacement";NA;1;NA
"57";6;14;NA;NA;NA;1;1;0;"Recovering a floating object (log or FAD) belonging to the vessel";"Recovery of FOB";NA;NA;0;NA
"58";6;15;NA;NA;NA;1;1;0;"Recovering a floating object (log or FAD) that does not belong to the vessel";"Recovery of FOB";NA;NA;0;NA
"59";3;16;NA;NA;NA;0;0;0;"End of searching";"Searching";NA;NA;1;NA
"60";10;17;NA;NA;NA;1;1;0;"Anchorage on top of a seamount";"Waiting";NA;NA;0;NA
"61";4;18;NA;NA;NA;1;0;0;"Steaming at night towards a floating object";"Transit (steaming without searching)";NA;NA;1;NA
"62";3;19;NA;NA;NA;1;1;0;"Continue steaming towards observed system associated to the tuna school";"Searching";NA;NA;0;NA
"63";6;20;NA;NA;NA;1;1;0;"Recovery of a floating object";"Recovery of FOB";NA;NA;0;NA
"64";42;21;NA;NA;NA;0;0;0;"FPA zone change";"FPA zone change";NA;NA;1;NA
"65";42;21;NA;1;NA;0;0;0;"FPA zone change";"FPA zone change";"Deployment";NA;1;NA
"66";7;22;NA;NA;NA;1;0;0;"Damage";"Damage";NA;NA;0;NA
"67";9;23;NA;NA;NA;1;1;0;"Bait fishing";"Bait";NA;NA;1;NA
"68";10;24;NA;NA;NA;1;0;0;"Waiting";"Waiting";NA;NA;1;NA
"69";11;25;NA;NA;NA;1;1;0;"Offshore transshipment (details unknown)";"Transshipping at sea";NA;NA;1;NA
"70";12;26;NA;NA;NA;1;1;0;"Transshipment from a purse seiner";"Transshipment from a purse seiner";NA;NA;1;NA
